date_str,cota_m
1966-01-01,1.93
1966-01-02,1.6266666666666667
1966-01-03,1.7433333333333334
1966-01-04,1.82
1966-01-05,1.8966666666666665
1966-01-06,1.9766666666666666
1966-01-07,2.0233333333333334
1966-01-08,2.09
1966-01-09,2.1733333333333333
1966-01-10,2.2933333333333334
1966-01-11,2.313333333333333
1966-01-12,2.3866666666666667
1966-01-13,2.433333333333333
1966-01-14,2.473333333333333
1966-01-15,2.49
1966-01-16,2.5
1966-01-17,2.486666666666667
1966-01-18,2.4633333333333334
1966-01-19,2.4266666666666663
1966-01-20,2.3333333333333335
1966-01-21,2.233333333333333
1966-01-22,2.15
1966-01-23,2.066666666666667
1966-01-24,1.9633333333333332
1966-01-25,1.883333333333333
1966-01-26,1.8066666666666666
1966-01-27,1.7566666666666666
1966-01-28,1.7133333333333336
1966-01-29,1.6633333333333333
1966-01-30,1.7033333333333331
1966-01-31,1.7566666666666666
1966-02-01,1.8499999999999999
1966-02-02,1.91
1966-02-03,1.9666666666666666
1966-02-04,2.0033333333333334
1966-02-05,2.0466666666666664
1966-02-06,2.0766666666666667
1966-02-07,2.1300000000000003
1966-02-08,2.17
1966-02-09,2.25
1966-02-10,2.3
1966-02-11,2.3233333333333333
1966-02-12,2.3833333333333333
1966-02-13,2.4266666666666667
1966-02-14,2.473333333333333
1966-02-15,2.4899999999999998
1966-02-16,2.5233333333333334
1966-02-17,2.546666666666667
1966-02-18,2.5733333333333337
1966-02-19,2.5966666666666667
1966-02-20,2.6133333333333333
1966-02-21,2.62
1966-02-22,2.6233333333333335
1966-02-23,2.6333333333333333
1966-02-24,2.643333333333333
1966-02-25,2.6799999999999997
1966-02-26,2.733333333333333
1966-02-27,2.75
1966-02-28,2.776666666666667
1966-03-01,2.63
1966-03-02,2.605
1966-03-03,2.585
1966-03-04,2.5700000000000003
1966-03-05,2.565
1966-03-06,2.57
1966-03-07,2.575
1966-03-08,2.5949999999999998
1966-03-09,2.61
1966-03-10,2.61
1966-03-11,2.6550000000000002
1966-03-12,2.6550000000000002
1966-03-13,2.6550000000000002
1966-03-14,2.66
1966-03-15,2.67
1966-03-16,2.665
1966-03-17,2.62
1966-03-18,2.615
1966-03-19,2.615
1966-03-20,2.605
1966-03-21,2.5949999999999998
1966-03-22,2.5949999999999998
1966-03-23,2.59
1966-03-24,2.62
1966-03-25,2.645
1966-03-26,2.715
1966-03-27,2.77
1966-03-28,2.835
1966-03-29,2.87
1966-03-30,2.9000000000000004
1966-03-31,2.91
1966-04-01,2.973333333333333
1966-04-02,3.0066666666666664
1966-04-03,3.0400000000000005
1966-04-04,3.0733333333333337
1966-04-05,3.1166666666666667
1966-04-06,3.1466666666666665
1966-04-07,3.1699999999999995
1966-04-08,3.17
1966-04-09,3.1566666666666663
1966-04-10,3.14
1966-04-11,3.1266666666666665
1966-04-12,3.0933333333333337
1966-04-13,3.0766666666666667
1966-04-14,3.056666666666666
1966-04-15,3.03
1966-04-16,2.9933333333333336
1966-04-17,2.97
1966-04-18,2.926666666666667
1966-04-19,2.8866666666666667
1966-04-20,2.8666666666666667
1966-04-21,2.8366666666666673
1966-04-22,2.796666666666667
1966-04-23,2.78
1966-04-24,2.7633333333333336
1966-04-25,2.75
1966-04-26,2.736666666666667
1966-04-27,2.7266666666666666
1966-04-28,2.706666666666667
1966-04-29,2.6933333333333334
1966-04-30,2.6833333333333336
1966-05-01,1.9900000000000002
1966-05-02,1.995
1966-05-03,1.9900000000000002
1966-05-04,1.99
1966-05-05,2.0
1966-05-06,1.99
1966-05-07,1.98
1966-05-08,1.975
1966-05-09,1.9699999999999998
1966-05-10,1.9649999999999999
1966-05-11,1.98
1966-05-12,2.005
1966-05-13,2.03
1966-05-14,2.065
1966-05-15,2.09
1966-05-16,2.145
1966-05-17,2.165
1966-05-18,2.175
1966-05-19,2.185
1966-05-20,2.2
1966-05-21,2.21
1966-05-22,2.2199999999999998
1966-05-23,2.205
1966-05-24,2.2
1966-05-25,2.21
1966-05-26,2.23
1966-05-27,2.23
1966-05-28,2.225
1966-05-29,2.205
1966-05-30,2.19
1966-05-31,2.175
1966-06-01,2.6966666666666668
1966-06-02,2.67
1966-06-03,2.623333333333333
1966-06-04,2.6
1966-06-05,2.5733333333333333
1966-06-06,2.5433333333333334
1966-06-07,2.5033333333333334
1966-06-08,2.473333333333333
1966-06-09,2.4533333333333336
1966-06-10,2.4266666666666667
1966-06-11,2.4033333333333338
1966-06-12,2.3733333333333335
1966-06-13,2.35
1966-06-14,2.3333333333333335
1966-06-15,2.316666666666667
1966-06-16,2.3000000000000003
1966-06-17,2.276666666666667
1966-06-18,2.263333333333333
1966-06-19,2.2466666666666666
1966-06-20,2.233333333333333
1966-06-21,2.22
1966-06-22,2.2066666666666666
1966-06-23,2.1933333333333334
1966-06-24,2.1833333333333336
1966-06-25,2.1766666666666667
1966-06-26,2.17
1966-06-27,2.1633333333333336
1966-06-28,2.1566666666666667
1966-06-29,2.1833333333333336
1966-06-30,2.1833333333333336
1966-07-01,2.1633333333333336
1966-07-02,2.17
1966-07-03,2.1633333333333336
1966-07-04,2.186666666666667
1966-07-05,2.18
1966-07-06,2.1566666666666667
1966-07-07,2.1366666666666667
1966-07-08,2.11
1966-07-09,2.1
1966-07-10,2.08
1966-07-11,2.0666666666666664
1966-07-12,2.046666666666667
1966-07-13,2.03
1966-07-14,2.013333333333333
1966-07-15,1.9933333333333334
1966-07-16,1.9733333333333334
1966-07-17,1.96
1966-07-18,1.9466666666666665
1966-07-19,1.9299999999999997
